dim,birth,b_x,b_y,b_z,death,d_x,d_y,d_z,val1,val2
0, 233, 319, 370, 0, 189, 323, 357.5, 0, 129, 135
0, 207, 271, 222, 0, 173, 264.5, 224, 0, 133, 151
0, 242, 194, 16, 0, 34, 147.5, 0, 0, 124, 135
0, 64, 375, 311, 0, 28, 379.5, 304, 0, 143, 140
1, 39, 237.5, 249, 0, 28, 241.5, 272.5, 0, 122, 110
0, 37, 91, 0, 0, 27, 91.5, 0, 0, 125, 125
0, 238, 42, 308, 0, 25, 71.5, 340, 0, 131, 120
0, 143, 210, 403, 0, 22, 210, 397.5, 0, 135, 131
1, 33, 228.5, 226, 0, 18, 235.5, 233.5, 0, 123, 138
1, 25, 331.5, 0, 0, 17, 302.5, 86.5, 0, 125, 124
1, 112, 386, 226.5, 0, 13, 380.5, 223.5, 0, 172, 120
1, 18, 341.5, 105, 0, 10, 351.5, 112.5, 0, 125, 124
1, 19, 285.5, 333, 0, 9, 279.5, 326.5, 0, 136, 126
1, 40, 149, 308.5, 0, 9, 144.5, 316.5, 0, 154, 134
1, 21, 59, 273.5, 0, 9, 35.5, 272.5, 0, 123, 131
1, 27, 270.5, 308, 0, 8, 287.5, 346.5, 0, 128, 126
